decade,loss
1700,19.4
1710,19.4
1720,19.4
1730,19.4
1740,19.4
1750,19.4
1760,19.4
1770,19.4
1780,19.4
1790,19.4
1800,19.4
1810,19.4
1820,19.4
1830,19.4
1840,17.46
1850,29.700000000000003
1860,29.700000000000003
1870,29.700000000000003
1880,29.700000000000003
1890,29.700000000000003
1900,29.700000000000003
1910,26.73
1920,115.19999999999999
1930,115.19999999999999
1940,103.67999999999999
1950,115.7
1960,115.7
1970,104.13
1980,151
1990,62.92949619999993
2000,31.16286739999987
2010,27.797908799999394
